= World Cup 2006    # 32 Teams

== Angola (ANG)   # 23 players

(12)  FW  Vratislav Lokvenc                  ##   72, Red Bull Salzburg (AUT)
(15)  FW  Milan Baroš                        ##   49, Aston Villa (ENG)
(17)  FW  Jiří Štajner                       ##   21, Hannover 96 (GER)
(18)  FW  Marek Heinz                        ##   28, Galatasaray (TUR)


== Deutschland (GER)   # 23 players

 (1)  GK  Jens Lehmann                       ##   32, Arsenal (ENG)
(12)  GK  Oliver Kahn                        ##   85, Bayern Munich (GER)
(23)  GK  Timo Hildebrand                    ##    3, Stuttgart (GER)

 (2)  DF  Marcell Jansen                     ##    7, Borussia Mönchengladbach (GER)
 (3)  DF  Arne Friedrich                     ##   36, Hertha BSC (GER)
 (4)  DF  Robert Huth                        ##   16, Chelsea (ENG)
 (6)  DF  Jens Nowotny                       ##   46, Bayer Leverkusen (GER)
(16)  DF  Philipp Lahm                       ##   18, Bayern Munich (GER)
(17)  DF  Per Mertesacker                    ##   23, Hannover 96 (GER)
(21)  DF  Christoph Metzelder                ##   22, Borussia Dortmund (GER)

 (5)  MF  Sebastian Kehl                     ##   27, Borussia Dortmund (GER)
 (7)  MF  Bastian Schweinsteiger             ##   28, Bayern Munich (GER)
 (8)  MF  Torsten Frings                     ##   52, Werder Bremen (GER)
(13)  MF  Michael Ballack                    ##   65, Bayern Munich (GER)
(15)  MF  Thomas Hitzlsperger                ##   15, Stuttgart (GER)
(18)  MF  Tim Borowski                       ##   20, Werder Bremen (GER)
(19)  MF  Bernd Schneider                    ##   64, Bayer Leverkusen (GER)
(22)  MF  David Odonkor                      ##    1, Borussia Dortmund (GER)

 (9)  FW  Mike Hanke                         ##    6, Wolfsburg (GER)
(10)  FW  Oliver Neuville                    ##   55, Borussia Mönchengladbach (GER)
(11)  FW  Miroslav Klose                     ##   55, Werder Bremen (GER)
(14)  FW  Gerald Asamoah                     ##   40, Schalke 04 (GER)
(20)  FW  Lukas Podolski                     ##   25, Köln (GER)


== Ecuador (ECU)   # 23 players

 (1)  GK  Edwin Villafuerte                  ##   15, Deportivo Quito (ECU)
(12)  GK  Cristian Mora                      ##    8, LDU Quito (ECU)
(22)  GK  Damián Lanza                       ##    5, Aucas (ECU)

 (2)  DF  Jorge Guagua                       ##   18, El Nacional (ECU)
 (3)  DF  Iván Hurtado                       ##  130, Al-Arabi (QAT)
 (4)  DF  Ulises de la Cruz                  ##   84, Aston Villa (ENG)
 (5)  DF  José Luis Perlaza                  ##    3, Olmedo (ECU)
(13)  DF  Paul Ambrosi                       ##   24, LDU Quito (ECU)
(17)  DF  Giovanny Espinoza                  ##   56, LDU Quito (ECU)
(18)  DF  Néicer Reasco                      ##   31, LDU Quito (ECU)

 (6)  MF  Patricio Urrutia                   ##    6, LDU Quito (ECU)
 (7)  MF  Christian Lara                     ##   19, El Nacional (ECU)
 (8)  MF  Edison Méndez                      ##   64, LDU Quito (ECU)
(14)  MF  Segundo Castillo                   ##   11, El Nacional (ECU)
(15)  MF  Marlon Ayoví                       ##   74, Deportivo Quito (ECU)
(16)  MF  Antonio Valencia                   ##   17, Recreativo (ESP)
(19)  MF  Luis Saritama                      ##   15, Deportivo Quito (ECU)
(20)  MF  Edwin Tenorio                      ##   68, Barcelona (ECU)

 (9)  FW  Félix Borja                        ##    6, El Nacional (ECU)
(10)  FW  Iván Kaviedes                      ##   44, Argentinos Juniors (ARG)
(11)  FW  Agustín Delgado                    ##   68, LDU Quito (ECU)
(21)  FW  Carlos Tenorio                     ##   29, Al-Sadd (QAT)
(23)  FW  Christian Benítez                  ##    5, El Nacional (ECU)


== England (ENG)   # 23 players

 (1)  GK  Paul Robinson                      ##   21, Tottenham Hotspur (ENG)
(13)  GK  David James                        ##   34, Manchester City (ENG)
(22)  GK  Scott Carson                       ##    0, Liverpool (ENG)

 (2)  DF  Gary Neville                       ##   79, Manchester United (ENG)
 (3)  DF  Ashley Cole                        ##   46, Arsenal (ENG)
 (5)  DF  Rio Ferdinand                      ##   47, Manchester United (ENG)
 (6)  DF  John Terry                         ##   24, Chelsea (ENG)
(12)  DF  Sol Campbell                       ##   68, Arsenal (ENG)
(14)  DF  Wayne Bridge                       ##   23, Chelsea (ENG)
(15)  DF  Jamie Carragher                    ##   25, Liverpool (ENG)

 (4)  MF  Steven Gerrard                     ##   42, Liverpool (ENG)
 (7)  MF  David Beckham                      ##   89, Real Madrid (ESP)
 (8)  MF  Frank Lampard                      ##   40, Chelsea (ENG)
(11)  MF  Joe Cole                           ##   32, Chelsea (ENG)
(16)  MF  Owen Hargreaves                    ##   30, Bayern Munich (GER)
(17)  MF  Jermaine Jenas                     ##   15, Tottenham Hotspur (ENG)
(18)  MF  Michael Carrick                    ##    6, Tottenham Hotspur (ENG)
(19)  MF  Aaron Lennon                       ##    1, Tottenham Hotspur (ENG)
(20)  MF  Stewart Downing                    ##    2, Middlesbrough (ENG)

 (9)  FW  Wayne Rooney                       ##   29, Manchester United (ENG)
(10)  FW  Michael Owen                       ##   77, Newcastle United (ENG)
