= World Cup 1978    # 16 Teams

== Argentina (ARG)   # 22 players

 (5)  DF  Mohsen Labidi                      ##    -, Stade Tunis 
(17)  DF  Ridha El Louze                     ##    -, Sfax Railways Sports 
(18)  DF  Kamel Chebli                       ##    -, Club Africain 
(20)  DF  Amor Jebali                        ##    -, AS Marsa 

 (4)  MF  Khaled Gasmi                       ##    -, Club Bizerta 
 (6)  MF  Néjib Ghommidh                     ##    -, Club Africain 
 (8)  MF  Mohamed Ben Rehaiem                ##    -, CS Sfaxien 
(10)  MF  Tarak Dhiab                        ##    -, Espérance 
(12)  MF  Khemais Labidi                     ##    -, JS Kairouan 

 (7)  FW  Témime Lahzami                     ##    -, Al-Ittihad 
 (9)  FW  Mohamed Akid                       ##    -, CS Sfaxien 
(11)  FW  Abderraouf Ben Aziza               ##    -, Étoile Sportive du Sahel 
(13)  FW  Néjib Liman                        ##    -, Stade Tunis 
(14)  FW  Slah Karoui                        ##    -, Étoile Sportive du Sahel 
(15)  FW  Mohamed Ben Mouza                  ##    -, Club Africain 
(16)  FW  Ohman Chehaibi                     ##    -, JS Kairouan 
(19)  FW  Mokhtar Hasni                      ##    -, La Louviére 

