= World Cup 1982    # 24 Teams

== Argentina (ARG)   # 22 players

(14)  MF  Miguel Gutiérrez                   ##    -, Sporting Cristal 
(18)  MF  Eduardo Malásquez                  ##    -, Deportivo Municipal 
(22)  MF  Luis Reyna                         ##    -, Sporting Cristal 

 (7)  FW  Gerónimo Barbadillo                ##    -, UANL Tigres 
(10)  FW  Teófilo Cubillas                   ##    -, Fort Lauderdale Strikers (USA)
(11)  FW  Juan Carlos Oblitas                ##    -, Seraing 
(19)  FW  Guillermo La Rosa                  ##    -, Atlético Nacional 
(20)  FW  Percy Rojas                        ##    -, Seraing 


== Poland (POL)   # 22 players

 (1)  GK  Józef Młynarczyk                   ##    -, Widzew Łódź 
(21)  GK  Jacek Kazimierski                  ##    -, Legia Warszawa 
(22)  GK  Piotr Mowlik                       ##    -, Lech Poznań 

 (2)  DF  Marek Dziuba                       ##    -, ŁKS Łódź 
 (4)  DF  Tadeusz Dolny                      ##    -, Górnik Zabrze 
 (6)  DF  Piotr Skrobowski                   ##    -, Wisła Kraków 
 (7)  DF  Jan Jałocha                        ##    -, Wisła Kraków 
(10)  DF  Stefan Majewski                    ##    -, Legia Warszawa 
(12)  DF  Roman Wójcicki                     ##    -, Śląsk Wrocław 

 (3)  MF  Janusz Kupcewicz                   ##    -, Arka Gdynia 
 (5)  MF  Paweł Janas                        ##    -, Legia Warszawa 
 (8)  MF  Waldemar Matysik                   ##    -, Górnik Zabrze 
 (9)  MF  Władysław Żmuda                    ##    -, Widzew Łódź 
(11)  MF  Włodzimierz Smolarek               ##    -, Widzew Łódź 
(13)  MF  Andrzej Buncol                     ##    -, Legia Warszawa 
(14)  MF  Andrzej Pałasz                     ##    -, Górnik Zabrze 
(15)  MF  Włodzimierz Ciołek                 ##    -, Stal Mielec 
(18)  MF  Marek Kusto                        ##    -, Legia Warszawa 
(19)  MF  Andrzej Iwan                       ##    -, Wisła Kraków 

(16)  FW  Grzegorz Lato                      ##    -, Lokeren 
(17)  FW  Andrzej Szarmach                   ##    -, Auxerre 
(20)  FW  Zbigniew Boniek                    ##    -, Widzew Łódź 


== Scotland (SCO)   # 22 players

 (1)  GK  Alan Rough                         ##   48, Partick Thistle 
(12)  GK  George Wood                        ##    4, Arsenal 
(22)  GK  Jim Leighton                       ##    0, Aberdeen 

 (2)  DF  Danny McGrain                      ##   60, Celtic 
 (3)  DF  Frank Gray                         ##   22, Leeds United 
 (5)  DF  Alan Hansen                        ##   14, Liverpool 
 (6)  DF  Willie Miller                      ##   17, Aberdeen 
(13)  DF  Alex McLeish                       ##   15, Aberdeen 
(14)  DF  David Narey                        ##   13, Dundee United 
(17)  DF  Allan Evans                        ##    3, Aston Villa 
