= World Cup 1974    # 16 Teams

== Argentina (ARG)   # 22 players

 (2)  DF  Ivan Buljan                        ##    -, Hajduk Split (SFR)
 (3)  DF  Enver Hadžiabdić                   ##    -, FK Željezničar (SFR)
 (5)  DF  Josip Katalinski                   ##    -, FK Željezničar (SFR)
 (6)  DF  Vladislav Bogićević                ##    -, Red Star Belgrade (SFR)
(14)  DF  Luka Peruzović                     ##    -, Hajduk Split (SFR)
(15)  DF  Kiril Dojčinovski                  ##    -, Red Star Belgrade (SFR)

 (4)  MF  Dražen Mužinić                     ##    -, Hajduk Split (SFR)
 (8)  MF  Branko Oblak                       ##    -, Hajduk Split (SFR)
(10)  MF  Jovan Aćimović                     ##    -, Red Star Belgrade (SFR)
(12)  MF  Jurica Jerković                    ##    -, Hajduk Split (SFR)
(13)  MF  Miroslav Pavlović                  ##    -, Red Star Belgrade (SFR)
(16)  MF  Franjo Vladić                      ##    -, Velež Mostar (SFR)

 (7)  FW  Ilija Petković                     ##    -, Troyes 
 (9)  FW  Ivica Šurjak                       ##    -, Hajduk Split (SFR)
(11)  FW  Dragan Džajić                      ##    -, Red Star Belgrade (SFR)
(17)  FW  Danilo Popivoda                    ##    -, Olimpija Ljubljana (SFR)
(18)  FW  Stanislav Karasi                   ##    -, Red Star Belgrade (SFR)
(19)  FW  Dušan Bajević                      ##    -, Velež Mostar (SFR)
(20)  FW  Vladimir Petrović                  ##    -, Red Star Belgrade (SFR)


== Zaire (ZAI)   # 22 players

 (1)  GK  Kazadi Mwamba                      ##    -, TP Mazembe 
(12)  GK  Tubilandu Ndimbi                   ##    -, AS Vita Club 
(22)  GK  Kalambay Otepa                     ##    -, TP Mazembe 

 (2)  DF  Mwepu Ilunga                       ##    -, TP Mazembe 
 (3)  DF  Mwanza Mukombo                     ##    -, TP Mazembe 
 (4)  DF  Bwanga Tshimen                     ##    -, TP Mazembe 
 (5)  DF  Lobilo Boba                        ##    -, AS Vita Club 
(11)  DF  Kabasu Babo                        ##    -, AS Bilima 
(16)  DF  Mwape Mialo                        ##    -, Nyiki Lubumbashi 

 (6)  MF  Kilasu Massamba                    ##    -, AS Bilima 
 (7)  MF  Tshinabu Wa Munda                  ##    -, TP Mazembe 
 (8)  MF  Mana Mamuwene                      ##    -, CS Imana 
 (9)  MF  Kembo Uba Kembo                    ##    -, AS Vita Club 
(10)  MF  Kidumu Mantantu                    ##    -, CS Imana 
(13)  MF  Ndaye Mulamba                      ##    -, AS Vita Club 
(15)  MF  Kibonge Mafu                       ##    -, AS Vita Club 
(17)  MF  Kafula Ngoie                       ##    -, TP Mazembe 

(14)  FW  Mayanga Maku                       ##    -, AS Vita Club 
(18)  FW  Mavuba Mafuila                     ##    -, AS Vita Club 
(19)  FW  Mbungu Ekofa                       ##    -, CS Imana 
(20)  FW  Jean Kalala N'Tumba                ##    -, AS Vita Club 
(21)  FW  Kakoko Etepé                       ##    -, CS Imana 

