= World Cup 2002    # 32 Teams

== Argentina (ARG)   # 23 players

 (9)  FW  Davor Šuker                        ##   68, 1860 Munich 
(11)  FW  Alen Bokšić                        ##   36, Middlesbrough 
(18)  FW  Ivica Olić                         ##    4, Zagreb 
(19)  FW  Goran Vlaović                      ##   50, Panathinaikos 
(22)  FW  Boško Balaban                      ##   13, Aston Villa 


== Ireland (IRL)   # 23 players

 (1)  GK  Shay Given                         ##   39, Newcastle United 
(16)  GK  Dean Kiely                         ##    6, Charlton Athletic 
(23)  GK  Alan Kelly                         ##   34, Blackburn Rovers 

 (2)  DF  Steve Finnan                       ##   13, Fulham 
 (3)  DF  Ian Harte                          ##   40, Leeds United 
 (4)  DF  Kenny Cunningham                   ##   38, Wimbledon 
 (5)  DF  Steve Staunton                     ##   98, Aston Villa 
(14)  DF  Gary Breen                         ##   43, Coventry City 
(15)  DF  Richard Dunne                      ##   14, Manchester City 
(18)  DF  Gary Kelly                         ##   46, Leeds United 
(20)  DF  Andrew O'Brien                     ##    5, Newcastle United 

 (6)  MF  Roy Keane                          ##   58, Manchester United 
 (7)  MF  Jason McAteer                      ##   47, Sunderland 
 (8)  MF  Matt Holland                       ##   19, Ipswich Town 
 (9)  MF  Damien Duff                        ##   26, Blackburn Rovers 
(11)  MF  Kevin Kilbane                      ##   31, Sunderland 
(12)  MF  Mark Kinsella                      ##   28, Charlton Athletic 
(21)  MF  Steven Reid                        ##    5, Millwall 
(22)  MF  Lee Carsley                        ##   19, Everton 

(10)  FW  Robbie Keane                       ##   33, Leeds United 
(13)  FW  David Connolly                     ##   33, Wimbledon 
(17)  FW  Niall Quinn                        ##   88, Sunderland 
(19)  FW  Clinton Morrison                   ##    7, Crystal Palace 


== Italy (ITA)   # 23 players

 (1)  GK  Gianluigi Buffon                   ##   26, Juventus 
(12)  GK  Christian Abbiati                  ##    0, Milan 
(22)  GK  Francesco Toldo                    ##   22, Internazionale 

 (2)  DF  Christian Panucci                  ##   24, Roma 
 (3)  DF  Paolo Maldini                      ##  122, Milan 
 (4)  DF  Francesco Coco                     ##   13, Barcelona 
 (5)  DF  Fabio Cannavaro                    ##   58, Parma 
(13)  DF  Alessandro Nesta                   ##   43, Lazio 
(15)  DF  Mark Iuliano                       ##   16, Juventus 
(23)  DF  Marco Materazzi                    ##    7, Internazionale 

 (6)  MF  Cristiano Zanetti                  ##    4, Internazionale 
 (8)  MF  Gennaro Gattuso                    ##   13, Milan 
(11)  MF  Cristiano Doni                     ##    3, Atalanta 
(14)  MF  Luigi Di Biagio                    ##   28, Internazionale 
(16)  MF  Angelo Di Livio                    ##   38, Fiorentina 
(17)  MF  Damiano Tommasi                    ##   14, Roma 
(19)  MF  Gianluca Zambrotta                 ##   23, Juventus 

 (7)  FW  Alessandro Del Piero               ##   49, Juventus 
 (9)  FW  Filippo Inzaghi                    ##   38, Milan 
(10)  FW  Francesco Totti                    ##   29, Roma 
(18)  FW  Marco Delvecchio                   ##   16, Roma 
(20)  FW  Vincenzo Montella                  ##   14, Roma 
(21)  FW  Christian Vieri                    ##   24, Internazionale 


== Japan (JPN)   # 23 players

 (1)  GK  Yoshikatsu Kawaguchi               ##   43, Portsmouth 
(12)  GK  Seigo Narazaki                     ##   15, Nagoya Grampus Eight 
(23)  GK  Hitoshi Sogahata                   ##    1, Kashima Antlers 

 (2)  DF  Yutaka Akita                       ##   38, Kashima Antlers 
 (3)  DF  Naoki Matsuda                      ##   24, Yokohama F. Marinos 
 (4)  DF  Ryuzo Morioka                      ##   32, Shimizu S-Pulse 
 (6)  DF  Toshihiro Hattori                  ##   35, Jubilo Iwata 
(16)  DF  Kōji Nakata                        ##   20, Kashima Antlers 
(17)  DF  Tsuneyasu Miyamoto                 ##    5, Gamba Osaka 

 (5)  MF  Junichi Inamoto                    ##   22, Arsenal 
 (7)  MF  Hidetoshi Nakata                   ##   39, Parma 
 (8)  MF  Hiroaki Morishima                  ##   57, Cerezo Osaka 
(14)  MF  Alessandro dos Santos              ##    0, Shimizu S-Pulse 
(15)  MF  Takashi Fukunishi                  ##    5, Jubilo Iwata 
(18)  MF  Shinji Ono                         ##   21, Feyenoord 
(19)  MF  Mitsuo Ogasawara                   ##    0, Kashima Antlers 
(20)  MF  Tomokazu Myojin                    ##   16, Kashiwa Reysol 
(21)  MF  Kazuyuki Toda                      ##   10, Shimizu S-Pulse 
(22)  MF  Daisuke Ichikawa                   ##    1, Shimizu S-Pulse 

 (9)  FW  Akinori Nishizawa                  ##   24, Cerezo Osaka 
(10)  FW  Masashi Nakayama                   ##   47, Jubilo Iwata 
(11)  FW  Takayuki Suzuki                    ##   10, Kashima Antlers 
(13)  FW  Atsushi Yanagisawa                 ##   22, Kashima Antlers 


== South Korea (KOR)   # 23 players

 (1)  GK  Lee Woon-Jae                       ##   32, Suwon Samsung Bluewings 
(12)  GK  Kim Byung-Ji                       ##   58, Pohang Steelers 
(23)  GK  Choi Eun-Sung                      ##    1, Daejeon Citizen 

 (2)  DF  Hyun Young-Min                     ##    8, Ulsan Hyundai Horangi 
 (4)  DF  Choi Jin-Cheul                     ##   15, Jeonbuk Hyundai Motors 
 (6)  DF  Yoo Sang-Chul                      ##   92, Kashiwa Reysol 
 (7)  DF  Kim Tae-Young                      ##   74, Jeonnam Dragons 
(10)  DF  Lee Young-Pyo                      ##   48, Anyang LG Cheetahs 
(15)  DF  Lee Min-Sung                       ##   52, Busan I'Cons 
(20)  DF  Hong Myung-Bo                      ##  124, Pohang Steelers 

 (3)  MF  Choi Sung-Yong                     ##   60, Suwon Samsung Bluewings 
 (5)  MF  Kim Nam-Il                         ##   21, Jeonnam Dragons 
 (8)  MF  Choi Tae-Uk                        ##   16, Anyang LG Cheetahs 
(13)  MF  Lee Eul-Yong                       ##   19, Bucheon SK 
(17)  MF  Yoon Jung-Hwan                     ##   36, Cerezo Osaka 
(19)  MF  Ahn Jung-Hwan                      ##   19, Perugia 
(21)  MF  Park Ji-Sung                       ##   30, Kyoto Purple Sanga 
(22)  MF  Song Chong-Gug                     ##   27, Busan I'Cons 

 (9)  FW  Seol Ki-Hyeon                      ##   31, Anderlecht 
(11)  FW  Choi Yong-Soo                      ##   58, JEF United Ichihara 
(14)  FW  Lee Chun-Soo                       ##   22, Ulsan Hyundai Horangi 
(16)  FW  Cha Du-Ri                          ##   12, Korea University 
(18)  FW  Hwang Sun-Hong                     ##   95, Kashiwa Reysol 


== Mexico (MEX)   # 23 players

 (1)  GK  Óscar Pérez                        ##   37, Cruz Azul 
(12)  GK  Oswaldo Sánchez                    ##   22, Guadalajara 
(23)  GK  Jorge Campos                       ##  123, U.N.A.M. 
