= World Cup 1954    # 16 Teams

== Austria (AUT)   # 22 players

(18)  DF  Kaçmaz Akgün                       ##    1, Fenerbahçe SK 
(19)  DF  Esinduy Ozcan                      ##    0, Beşiktaş J.K. 

 (5)  MF  Çetin Zeybek                       ##    2, Kasımpaşa SK 
 (6)  MF  Rober Eryol                        ##    5, Galatasaray S.K. 
(15)  MF  Gokcen Dinçer                      ##    0, Fenerbahçe SK 

 (7)  FW  Erol Keskin                        ##    1, Adalet SK Istanbul 
 (8)  FW  Suat Mamat                         ##    2, Galatasaray S.K. 
 (9)  FW  Feridun Buğeker                    ##    3, Fenerbahçe SK 
(10)  FW  Burhan Sargun                      ##    5, Fenerbahçe SK 
(11)  FW  Lefter Küçükandonyadis             ##    3, Fenerbahçe SK 
(20)  FW  Necmi Onarıcı                      ##    0, Adalet SK Istanbul 
(21)  FW  Kadri Aytaç                        ##    0, Galatasaray S.K. 
(22)  FW  Coşkun Taş                         ##    2, Beşiktaş J.K. 


== Uruguay (URU)   # 22 players

 (1)  GK  Roque Máspoli                      ##   35, Peñarol 
(12)  GK  Julio Maceiras                     ##    1, Danubio 

 (2)  DF  José Santamaría                    ##    3, Nacional 
 (3)  DF  William Martínez                   ##   11, Rampla Juniors 
 (4)  DF  Víctor Rodríguez Andrade           ##   20, Peñarol 
(13)  DF  Mirto Davoine                      ##    1, Peñarol 
(14)  DF  Eusebio Tejera                     ##   31, Defensor 

 (5)  MF  Obdulio Varela                     ##   43, Peñarol 
 (6)  MF  Roberto Leopardi                   ##    3, Nacional 
(15)  MF  Urbano Rivera                      ##    8, Danubio 
(16)  MF  Néstor Carballo                    ##   10, Nacional 
(17)  MF  Luis Cruz                          ##    7, Nacional 

 (7)  FW  Julio Abbadie                      ##    9, Peñarol 
 (8)  FW  Juan Hohberg                       ##    3, Peñarol 
 (9)  FW  Oscar Míguez                       ##   14, Peñarol 
(10)  FW  Juan Alberto Schiaffino            ##   14, Peñarol 
(11)  FW  Carlos Borges                      ##    2, Peñarol 
(18)  FW  Rafael Souto                       ##    4, Nacional 
(19)  FW  Javier Ambrois                     ##    7, Nacional 
(20)  FW  Omar Méndez                        ##    3, Nacional 
(21)  FW  Julio Pérez                        ##   14, Nacional 
(22)  FW  Luis Castro                        ##    1, Defensor 


== Yuguslavia (YUG)   # 22 players

 (1)  GK  Vladimir Beara                     ##   25, Hajduk Split 
(12)  GK  Branko Kralj                       ##    0, Dinamo Zagreb 

 (2)  DF  Branko Stanković                   ##   50, Crvena Zvezda Belgrade 
 (3)  DF  Tomislav Crnković                  ##   17, Dinamo Zagreb 
 (5)  DF  Ivan Horvat                        ##   43, Dinamo Zagreb 
 (6)  DF  Vujadin Boškov                     ##   22, Vojvodina Novi Sad 
(13)  DF  Miljan Zeković                     ##    3, Crvena Zvezda Belgrade 
(16)  DF  Sima Milovanov                     ##    4, Vojvodina Novi Sad 
(17)  DF  Bruno Belin                        ##    3, Partizan Belgrade 

 (4)  MF  Zlatko Čajkovski                   ##   51, Partizan Belgrade 
(10)  MF  Stjepan Bobek                      ##   53, Partizan Belgrade 
(14)  MF  Lev Mantula                        ##    0, Dinamo Zagreb 
(15)  MF  Ljubiša Spajić                     ##    6, Crvena Zvezda Belgrade 
(19)  MF  Zlatko Papec                       ##    1, Hajduk Split 

 (7)  FW  Tihomir Ognjanov                   ##   22, Crvena Zvezda Belgrade 
 (8)  FW  Rajko Mitić                        ##   47, Crvena Zvezda Belgrade 
 (9)  FW  Bernard Vukas                      ##   35, Hajduk Split 
(11)  FW  Branko Zebec                       ##   22, Partizan Belgrade 
(18)  FW  Miloš Milutinović                  ##    8, Partizan Belgrade 
(20)  FW  Dionizije Dvornić                  ##    3, Dinamo Zagreb 
(21)  FW  Todor Veselinović                  ##    2, Vojvodina Novi Sad 
(22)  FW  Aleksandar Petaković               ##    0, Radnicki Belgrade 

