= World Cup 1970    # 16 Teams

== Belgium (BEL)   # 22 players

(14)  DF  José Fernández                     ##    -, Sporting Cristal 
(16)  DF  Félix Salinas                      ##    -, Universitario 
(19)  DF  Eladio Reyes                       ##    -, Alianza Lima 

 (6)  MF  Ramón Mifflin                      ##    -, Sporting Cristal 
 (7)  MF  Roberto Challe                     ##    -, Universitario 
 (8)  MF  Julio Baylón                       ##    -, Alianza Lima 
(11)  MF  Alberto Gallardo                   ##    -, Sporting Cristal 
(13)  MF  Pedro González                     ##    -, Universitario 
(15)  MF  Javier González                    ##    -, Alianza Lima 
(17)  MF  Luis Cruzado                       ##    -, Universitario 

 (9)  FW  Pedro Pablo León                   ##    -, Alianza Lima 
(10)  FW  Teófilo Cubillas                   ##    -, Alianza Lima 
(18)  FW  José del Castillo                  ##    -, Sporting Cristal 
(20)  FW  Hugo Sotil                         ##    -, Deportivo Municipal 
(22)  FW  Oswaldo Ramírez                    ##    -, Sport Boys 


== Romania (ROU)   # 22 players

 (1)  GK  Necula Răducanu                    ##    9, Rapid Bucureşti 
(21)  GK  Stere Adamache                     ##    2, Steagul Roşu Braşov 
(22)  GK  Gheorghe Gornea                    ##    4, UTA Arad 

 (2)  DF  Lajos Sătmăreanu                   ##   20, Steaua Bucureşti 
 (3)  DF  Nicolae Lupescu                    ##    7, Rapid Bucureşti 
 (4)  DF  Mihai Mocanu                       ##   25, Petrolul Ploieşti 
(12)  DF  Mihai Ivăncescu                    ##    0, Steagul Roşu Braşov 
(13)  DF  Augustin Deleanu                   ##   11, Dinamo Bucureşti 
(14)  DF  Vasile Gergely                     ##   35, Dinamo Bucureşti 
(15)  DF  Ion Dumitru                        ##    3, Rapid Bucureşti 
(20)  DF  Nicolae Pescaru                    ##    1, Steagul Roşu Braşov 

 (5)  MF  Cornel Dinu                        ##   16, Dinamo Bucureşti 
 (6)  MF  Dan Coe                            ##   39, Rapid Bucureşti 
