= World Cup 1994    # 24 Teams

== Argentina (ARG)   # 22 players

(18)  DF  Alf-Inge Håland                    ##    3, Nottingham Forest 
(20)  DF  Henning Berg                       ##   16, Blackburn Rovers 

 (7)  MF  Erik Mykland                       ##   25, Start 
 (8)  MF  Øyvind Leonhardsen                 ##   29, Rosenborg 
(10)  MF  Kjetil Rekdal                      ##   32, Lierse 
(11)  MF  Mini Jakobsen                      ##   44, Young Boys 
(15)  MF  Karl Petter Løken                  ##   32, Rosenborg 
(19)  MF  Roar Strand                        ##    1, Rosenborg 
(22)  MF  Lars Bohinen                       ##   29, Nottingham Forest 

 (6)  FW  Jostein Flo                        ##   23, Sheffield United 
 (9)  FW  Jan Åge Fjørtoft                   ##   50, Swindon Town 
(16)  FW  Gøran Sørloth                      ##   54, Bursaspor 
(21)  FW  Sigurd Rushfeldt                   ##    1, Tromsø 


== Romania (ROU)   # 22 players

 (1)  GK  Florin Prunea                      ##    -, Dinamo Bucharest 
(12)  GK  Bogdan Stelea                      ##    -, Rapid Bucureşti 
(22)  GK  Ştefan Preda                       ##    -, Petrolul Ploieşti 

 (2)  DF  Dan Petrescu                       ##    -, Genoa 
 (3)  DF  Daniel Prodan                      ##    -, Steaua Bucharest 
 (4)  DF  Miodrag Belodedici                 ##    -, Valencia 
 (6)  DF  Gheorghe Popescu                   ##    -, PSV 
(13)  DF  Tibor Selymes                      ##    -, Cercle Brugge 
(14)  DF  Gheorghe Mihali                    ##    -, Dinamo Bucureşti 
(19)  DF  Corneliu Papură                    ##    -, Universitatea Craiova 

 (5)  MF  Ioan Lupescu                       ##    -, Bayer Leverkusen 
 (7)  MF  Dorinel Munteanu                   ##    -, Cercle Brugge 
 (8)  MF  Iulian Chiriţă                     ##    -, Rapid Bucureşti 
(10)  MF  Gheorghe Hagi                      ##    -, Brescia 
