= World Cup 1990    # 24 Teams

== United Arab Emirates (UAE)   # 22 players

(17)  FW  Hans Gillhaus                      ##    2, Aberdeen 
(19)  FW  John van Loen                      ##    6, Roda JC 


== Romania (ROU)   # 22 players

 (1)  GK  Silviu Lung                        ##   65, Steaua Bucureşti 
(12)  GK  Bogdan Stelea                      ##    3, Dinamo Bucureşti 
(22)  GK  Gheorghe Liliac                    ##    2, Petrolul Ploieşti 

 (2)  DF  Mircea Rednic                      ##   74, Dinamo Bucureşti 
 (3)  DF  Michael Klein                      ##   78, Dinamo Bucureşti 
 (4)  DF  Ioan Andone                        ##   49, Dinamo Bucureşti 
 (5)  DF  Iosif Rotariu                      ##   11, Steaua Bucureşti 
 (6)  DF  Gheorghe Popescu                   ##   18, Universitatea Craiova 
(13)  DF  Adrian Popescu                     ##    1, Universitatea Craiova 
(19)  DF  Emil Săndoi                        ##    8, Universitatea Craiova 

 (8)  MF  Ioan Sabău                         ##   21, Dinamo Bucureşti 
(10)  MF  Gheorghe Hagi                      ##   59, Steaua Bucureşti 
(11)  MF  Dănuţ Lupu                         ##    7, Dinamo Bucureşti 
(15)  MF  Dorin Mateuţ                       ##   45, Dinamo Bucureşti 
(16)  MF  Daniel Timofte                     ##    4, Dinamo Bucureşti 
(20)  MF  Zsolt Muzsnay                      ##    6, Steaua Bucureşti 
(21)  MF  Ioan Lupescu                       ##    4, Dinamo Bucureşti 

 (7)  FW  Marius Lăcătuş                     ##   38, Steaua Bucureşti 
 (9)  FW  Rodion Cămătaru                    ##   74, Charleroi 
(14)  FW  Florin Răducioiu                   ##    3, Dinamo Bucureşti 
(17)  FW  Ilie Dumitrescu                    ##    9, Steaua Bucureşti 
(18)  FW  Gavril Balint                      ##   24, Steaua Bucureşti 


== Scotland (SCO)   # 22 players

 (1)  GK  Jim Leighton                       ##   55, Manchester United 
(12)  GK  Andy Goram                         ##    9, Hibernian 
(22)  GK  Bryan Gunn                         ##    1, Norwich City 

 (2)  DF  Alex McLeish                       ##   69, Aberdeen 
 (3)  DF  Roy Aitken                         ##   53, Newcastle United 
 (4)  DF  Richard Gough                      ##   49, Rangers 
 (6)  DF  Maurice Malpas                     ##   34, Dundee United 
(11)  DF  Gary Gillespie                     ##   11, Liverpool 
(15)  DF  Craig Levein                       ##    5, Heart of Midlothian 
(17)  DF  Stewart McKimmie                   ##    4, Aberdeen 
(19)  DF  David McPherson                    ##    4, Heart of Midlothian 

 (5)  MF  Paul McStay                        ##   46, Celtic 
 (8)  MF  Jim Bett                           ##   24, Aberdeen 
(10)  MF  Murdo MacLeod                      ##   14, Borussia Dortmund 
(16)  MF  Stuart McCall                      ##    5, Everton 
(18)  MF  John Collins                       ##    4, Hibernian 
(20)  MF  Gary McAllister                    ##    3, Leicester City 
(21)  MF  Robert Fleck                       ##    1, Norwich City 

 (7)  FW  Mo Johnston                        ##   33, Rangers 
 (9)  FW  Ally McCoist                       ##   23, Rangers 
